id	kritiker_etternavn	kritiker_fornavn	kritiker_kjonn	kritiker_pseudonym	kritiker_kommentar	kritikktype	publikasjon	utgivelsessted	aar	dato	aargang	nummer	bind	hefte	sidetall	utgivelseskommentar	tittel	spraak	kommentar	forfatter_etternavn	forfatter_fornavn	forfatter_kommentar	forfatter_kjonn	verk_tittel	verk_utgivelsessted	verk_dato	verk_sjanger	verk_spraak	verk_kommentar
17491	Rytter	Henrik	mann			dagskritikk	Ung-Norig. Maanadskrift paa norsk maal		1924						236-243			nynorsk		Uppdal	Kristofer		mann	Vandringa	Kristiania	1923	roman	nynorsk	arbeiderlitteratur
17492	Raknes	Ola	mann			dagskritikk	Den 17de Mai		1924	14. mar							I arbeidet	nynorsk		Uppdal	Kristofer		mann	Fjellskjeringa	Kristiania	1924	roman	nynorsk	arbeiderlitteratur
17493	Fangen	Ronald	mann	R.F.		dagskritikk	Dagbladet		1924	19. mar		67								Uppdal	Kristofer		mann	Fjellskjeringa	Kristiania	1924	roman	nynorsk	arbeiderlitteratur
17494	Ung	Svein	mann			dagskritikk	Teledølen		1924	20. mar										Uppdal	Kristofer		mann	Fjellskjeringa	Kristiania	1924	roman	nynorsk	arbeiderlitteratur
17495	Østerholt	Hans	mann	H.Ø.		dagskritikk	Hvepsen		1924	22. mar					99					Uppdal	Kristofer		mann	Fjellskjeringa	Kristiania	1924	roman	nynorsk	arbeiderlitteratur
17496	Oftedal	Tjøl	mann	O-l		dagskritikk	1ste Mai		1924	22. mar									sosialistisk kritikk	Uppdal	Kristofer		mann	Fjellskjeringa	Kristiania	1924	roman	nynorsk	arbeiderlitteratur
17497	Stensaker	Asbjørn	mann			dagskritikk	Bergens Aftenblad		1924	29. mar										Uppdal	Kristofer		mann	Fjellskjeringa	Kristiania	1924	roman	nynorsk	arbeiderlitteratur
17498	Gullvåg	Olav	mann	O.G.		dagskritikk	Gula Tidend		1924	01. apr							Den store arbeidarromanen	nynorsk		Uppdal	Kristofer		mann	Fjellskjeringa	Kristiania	1924	roman	nynorsk	arbeiderlitteratur
17499	Dalgard	Olav	mann			dagskritikk	Fram		1924	5. apr					11.12.2012			nynorsk		Uppdal	Kristofer		mann	Fjellskjeringa	Kristiania	1924	roman	nynorsk	arbeiderlitteratur
17500			ukjent	Kr.		dagskritikk	Norges Kvinder		1924	30. apr										Uppdal	Kristofer		mann	Fjellskjeringa	Kristiania	1924	roman	nynorsk	arbeiderlitteratur
17501	Dalgard	Olav	mann			artikkel, debatt	Den 17de Mai		1924	9. apr							Diktarløn til Kristofer Uppdal	nynorsk		Uppdal	Kristofer		mann						
17502	anonym		ukjent			artikkel, debatt	Dagbladet		1924	16. mai							Får Uppdal diktergasje, Garborgs er ledig			Uppdal	Kristofer		mann						
17503	anonym		ukjent			artikkel, debatt	Arbeiderbladet		1924	16. mai							Får Kristofer Uppdal diktergasje?		sosialistisk kritikk, 	Uppdal	Kristofer		mann						
17504	anonym		ukjent			artikkel, debatt	Morgenposten		1924	16. mai							Diktergasje til Kristofer Uppdal?		Også i Middagsavisen 16. og Øreblad17. mai	Uppdal	Kristofer		mann						
17505	anonym		ukjent			artikkel, debatt	Den 17de Mai		1924	19. mai							Forf.foreninga bad St.t. gjeva Kristofer Uppdal den ledige diktarløna etter Garborg	nynorsk		Uppdal	Kristofer		mann						
17506	anonym		ukjent			artikkel, debatt	Norig		1924	23. mai							Diktarløn	nynorsk		Uppdal	Kristofer		mann						
17507	Falk	Arne	mann	Frifant		artikkel	Den 17de Mai		1924	19. nov							Eit sensasjonelt intervju med Per Skrull	nynorsk		Uppdal	Kristofer		mann						
17508			ukjent	S.S.		dagskritikk	Norges Handels- og Sjøfartstidende		1924	22. nov										Uppdal	Kristofer		mann	Herdsla	Kristiania	1924	roman	nynorsk	arbeiderlitteratur
17509	Raknes	Ola	mann			dagskritikk	Den 17de Mai		1924	24. nov								nynorsk		Uppdal	Kristofer		mann	Herdsla	Kristiania	1924	roman	nynorsk	arbeiderlitteratur
17510	anonym		ukjent			dagskritikk	Den nye Social-Demokraten		1924	25. nov									sosialistisk kritikk	Uppdal	Kristofer		mann	Herdsla	Kristiania	1924	roman	nynorsk	arbeiderlitteratur
17511	Klem	Georg	mann			dagskritikk	Tønsbergs Blad		1924	27. nov							Eit nynorsk romanverk	nynorsk		Uppdal	Kristofer		mann	Herdsla	Kristiania	1924	roman	nynorsk	arbeiderlitteratur
17512			ukjent	Harey		dagskritikk	Arbeideravisa		1924	28. nov									sosialistisk kritikk	Uppdal	Kristofer		mann	Herdsla	Kristiania	1924	roman	nynorsk	arbeiderlitteratur
17513	Markusson	Andreas	mann			dagskritikk	Porsgrunds Dagblad		1924	28. nov							Dansen gjenom skuggeheimen			Uppdal	Kristofer		mann	Herdsla	Kristiania	1924	roman	nynorsk	arbeiderlitteratur
17514	Halvorsen	Finn	mann			dagskritikk	Morgenposten		1924	29. nov										Uppdal	Kristofer		mann	Herdsla	Kristiania	1924	roman	nynorsk	arbeiderlitteratur
17515	Debes	Inge	mann			dagskritikk	Nationen		1924	29. nov							Songen um rallaren			Uppdal	Kristofer		mann	Herdsla	Kristiania	1924	roman	nynorsk	arbeiderlitteratur
