"id","name","entity_type","noraf_id"
663,"Brochmann, J. H. K.","person",
664,"Dahl, Tor Edvin","person",
665,"Halse, Marte","person",
667,"Wisth, Aslaug","person",
670,"Aadland, Erling","person",
671,"Dokka, Trond Skard","person",
672,"Lothe, Jakob","person",
905,"Borstad, Ann-Christin","person",
674,"Breivik, Inger Lise","person",
675,"Oiestad, Per Christian","person",
676,"Fylkesaker, Lars","person",
677,"Jokipii, Mauno","person",
678,"Nummela, Ilkka","person",
680,"Wedege, Nils Petter","person",
681,"Iversen, Irene","person",
682,"Moi, Morten","person",
683,"Nordisk spraksekretariat","institution",
684,"Aamotsbakken, Bente","person",
685,"Knudsen, Susanne V.","person",
686,"Moskvil, Maria Elisabeth","person",
687,"Mortensen-Buan, Anne-Beathe","person",
688,"Akselberg, Gunnstein","person",
689,"Tjonneland, Eivind","person",
690,"Thorsen, Frode","person",
691,"Bastiansen, Henrik Grue","person",
901,"Seljeseth, Ida","person",
693,"Flo, Idar Andre","person",
694,"Eikeland, Halvdan","person",
695,"Engebretsen, Eivind","person",
696,"Fasting, Mathilde","person",
697,"Doksheim, Marius","person",
698,"Vatnoy, Eirik","person",
699,"Graver, Hans Petter","person",
700,"Gruters, Ruth","person",
701,"Jonisko, Anne Lise","person",
702,"Hannevik, Arne","person",
703,"Ihlen, Oyvind","person",
704,"Noding, Aina","person",
705,"Siljan, Henriette","person",
706,"Skodvin, Arne","person",
707,"Vikor, Lars S.","person",
708,"Jorgensen, Jon Gunnar","person",
709,"Ytreberg, Espen","person",
710,"Knudsen, Geir","person",
899,"Wojahn, Daniel","person",
712,"Simonsen, Eva","person",
713,"Busch, Hans-Arnulf","person",
714,"Weyergang, Cecilie","person",
715,"Myraunet, Astrid","person",
716,"Vardal, Magnus","person",
717,"Lauvstad, Hanne","person",
718,"Klastrup, Lisbeth","person",
719,"Waerp, Henning Howlid","person",
720,"Rustad, Hans Kristian","person",
721,"Bjorkoy, Aasta Marie Bjorvand","person",
722,"Eliassen, Finn-Einar","person",
723,"Kraggerud, Egil","person",
724,"Kvanvig, Helge S.","person",
725,"Dokka, Ase","person",
726,"Johansen, Hilde","person",
727,"Johansen, Anders","person",
728,"Stromso, Helge","person",
729,"Braten, Ivar","person",
730,"Rogne, Magne","person",
731,"Stromso, Helge Ivar","person",
732,"Mangen, Anne","person",
733,"Kristiansen, Marie","person",
734,"Ostrem, Solveig","person",
735,"Iversen, Harald Morten","person",
736,"Ekroll, Ingeborg Kind","person",
737,"Tonnesson, Johan","person",
738,"Overn, Eli Ingeborg","person",
739,"Mokleby, Inger-Anne F.","person",
740,"Eide, Ove","person",
